t,i,q,dq,q_des,dq_des
0.611059,0,0.290119,-0.056535,0.281349,0.000000
0.613060,0,0.290119,-0.059739,0.280699,0.000000
0.615060,0,0.290119,-0.031815,0.280038,0.000000
0.617061,0,0.290119,0.007095,0.279366,0.000000
0.619059,0,0.289735,-0.007095,0.278683,0.000000
0.621056,0,0.289735,-0.033647,0.277990,0.000000
0.623059,0,0.289735,-0.034104,0.277283,0.000000
0.625060,0,0.289735,0.035019,0.276567,0.000000
0.627060,0,0.289735,-0.038224,0.275840,0.000000
0.629056,0,0.289735,-0.073930,0.275103,0.000000
0.631060,0,0.289735,-0.067521,0.274353,0.000000
0.633060,0,0.289735,-0.003891,0.273593,0.000000
0.635060,0,0.289352,-0.035478,0.272822,0.000000
0.637060,0,0.289352,0.007553,0.272041,0.000000
0.639059,0,0.289352,-0.078050,0.271249,0.000000
0.641060,0,0.289352,-0.024490,0.270446,0.000000
0.643059,0,0.289352,-0.035478,0.269633,0.000000
0.645058,0,0.288968,-0.094530,0.268809,0.000000
0.647059,0,0.288968,-0.021744,0.267974,0.000000
0.649061,0,0.288968,0.013046,0.267127,0.000000
0.651060,0,0.288968,-0.080338,0.266272,0.000000
0.653060,0,0.288585,-0.073472,0.265405,0.000000
0.655060,0,0.288968,-0.003891,0.264528,0.000000
0.657059,0,0.288585,-0.040971,0.263641,0.000000
0.659060,0,0.288585,-0.018539,0.262743,0.000000
0.661059,0,0.288585,-0.102770,0.261834,0.000000
0.663060,0,0.288585,0.015793,0.260915,0.000000
0.665060,0,0.288201,-0.079423,0.259986,0.000000
0.667060,0,0.288201,-0.067979,0.259047,0.000000
0.669059,0,0.288201,-0.065690,0.258098,0.000000
0.671060,0,0.288201,-0.082627,0.257137,0.000000
0.673059,0,0.287818,-0.044633,0.256168,0.000000
0.675060,0,0.287818,-0.010300,0.255187,0.000000
0.677060,0,0.287434,-0.110552,0.254197,0.000000
0.679060,0,0.287434,-0.127031,0.253197,0.000000
0.681060,0,0.287051,-0.091326,0.252187,0.000000
0.683060,0,0.287051,-0.093614,0.251166,0.000000
0.685059,0,0.286667,-0.140764,0.250136,0.000000
0.687059,0,0.286667,-0.037309,0.249096,0.000000
0.689059,0,0.286667,-0.080796,0.248046,0.000000
0.691059,0,0.286284,-0.043717,0.246986,0.000000
0.693060,0,0.286284,-0.095446,0.245917,0.000000
0.695060,0,0.286284,-0.075761,0.244837,0.000000
0.697059,0,0.285900,-0.125658,0.243749,0.000000
0.699060,0,0.285900,-0.045548,0.242649,0.000000
0.701061,0,0.285517,-0.133440,0.241541,0.000000
0.703059,0,0.285133,-0.072099,0.240424,0.000000
0.705058,0,0.285133,-0.114214,0.239297,0.000000
0.707059,0,0.285133,-0.109178,0.238160,0.000000
0.709061,0,0.284750,-0.112841,0.237013,0.000000
0.711059,0,0.284366,-0.126116,0.235858,0.000000
0.713057,0,0.283983,-0.168231,0.234695,0.000000
0.715060,0,0.283983,-0.159533,0.233519,0.000000
0.717058,0,0.283599,-0.081712,0.232336,0.000000
0.719060,0,0.283599,-0.088121,0.231142,0.000000
0.721059,0,0.283216,-0.224079,0.229942,0.000000
0.723058,0,0.282832,-0.179675,0.228731,0.000000
0.725058,0,0.282449,-0.116503,0.227511,0.000000
0.727060,0,0.282065,-0.243763,0.226281,0.000000
0.729059,0,0.281682,-0.121996,0.225043,0.000000
0.731059,0,0.281298,-0.183337,0.223797,0.000000
0.733060,0,0.280915,-0.207599,0.222541,0.000000
0.735058,0,0.280531,-0.273518,0.221277,0.000000
0.737060,0,0.280148,-0.226368,0.220003,0.000000
0.739060,0,0.279764,-0.193408,0.218721,0.000000
0.741060,0,0.278997,-0.213093,0.217430,0.000000
0.743060,0,0.278997,-0.285878,0.216131,0.000000
0.745060,0,0.278230,-0.258869,0.214823,0.000000
0.747059,0,0.277847,-0.239643,0.213508,0.000000
0.749060,0,0.277463,-0.219501,0.212182,0.000000
0.751059,0,0.276696,-0.249714,0.210850,0.000000
0.753059,0,0.276313,-0.320668,0.209508,0.000000
0.755060,0,0.275546,-0.254749,0.208158,0.000000
0.757059,0,0.275162,-0.293660,0.206801,0.000000
0.759059,0,0.274395,-0.336691,0.205434,0.000000
0.761059,0,0.273628,-0.318837,0.204060,0.000000
