t,i,q,dq,q_des,dq_des
3.558066,0,-0.293570,0.055618,-0.294447,0.170975
3.568045,0,-0.292803,0.097277,-0.292596,0.199942
3.578138,0,-0.292036,0.157701,-0.290431,0.229041
3.588035,0,-0.290886,0.181049,-0.288024,0.257351
3.598138,0,-0.290502,0.116503,-0.285279,0.285994
3.608176,0,-0.287818,0.164568,-0.282267,0.314167
3.618144,0,-0.286284,0.135729,-0.278997,0.341834
3.628073,0,-0.284750,0.182880,-0.275467,0.369061
3.638131,0,-0.282832,0.185627,-0.271618,0.396273
3.648076,0,-0.280531,0.265278,-0.267545,0.422792
3.658143,0,-0.277847,0.293203,-0.263155,0.449217
3.668057,0,-0.274395,0.380178,-0.258575,0.474799
3.678142,0,-0.270944,0.398031,-0.253657,0.500352
3.688073,0,-0.266341,0.522087,-0.248565,0.525023
3.698136,0,-0.261356,0.572900,-0.243159,0.549499
3.708075,0,-0.254836,0.691463,-0.237579,0.573138
3.718136,0,-0.247933,0.695583,-0.231695,0.596495
3.728043,0,-0.240647,0.660335,-0.225674,0.618913
3.738134,0,-0.233361,0.703365,-0.219315,0.641132
3.748074,0,-0.226074,0.848477,-0.212837,0.662387
3.758164,0,-0.218404,0.710689,-0.206047,0.683305
3.768058,0,-0.210734,0.814145,-0.199188,0.703147
3.778156,0,-0.203064,0.734493,-0.191988,0.722699
3.788077,0,-0.195394,0.755550,-0.184726,0.741200
3.798135,0,-0.187724,0.777982,-0.177179,0.759223
3.808057,0,-0.179287,0.751430,-0.169561,0.776257
3.818137,0,-0.171616,0.782560,-0.161653,0.792791
3.828058,0,-0.163946,0.768369,-0.153710,0.808288
3.838136,0,-0.155893,0.897460,-0.145488,0.823226
3.848059,0,-0.147840,0.821012,-0.137250,0.837129
3.858064,0,-0.139786,0.832914,-0.128807,0.850323
3.868050,0,-0.131733,0.813687,-0.120253,0.862654
3.878136,0,-0.123296,0.859006,-0.111494,0.874247
3.888058,0,-0.114475,0.917602,-0.102766,0.884795
3.898058,0,-0.105654,0.903869,-0.093869,0.894556
3.908058,0,-0.096834,0.924010,-0.084878,0.903435
3.918059,0,-0.088014,0.938659,-0.075802,0.911422
3.928053,0,-0.078426,0.958343,-0.066657,0.918505
3.938132,0,-0.068838,0.912108,-0.057367,0.924732
3.948048,0,-0.059634,0.960174,-0.048171,0.929953
